100 0.0154 0.00286312 0.0551206
300 0.0208 0.0222182 0.0885632
500 0.0232 0.0582656 0.182357
700 0.0658 0.130871 0.341817
900 0.059 0.184569 0.492786
1100 0.0808 0.260948 0.72119
1300 0.1194 0.360996 0.773971
1500 0.215 0.506324 1.24973
1700 0.2146 0.605241 1.57796
1900 0.4602 0.744136 1.90565
2100 0.9494 0.956391 2.34122
2300 1.047 1.11334 2.83946
2500 1.2258 1.37279 3.49582
